Question FR,Réponse Fr 1,Réponse Fr 2,Réponse Fr 3,Réponse Fr 4,Question EN,Réponse En 1,Réponse En 2,Réponse En 3,Réponse En 4,Bonne réponse
Combien de références à la Pop Culture pouvez-vous compter dans le son Overlap ?,Moins de 5,Entre 6 et 9,Entre 10 et 12,Plus de 13,How many references to Pop Culture can you count in the Overlap sound?,Less than 5,Between 6 and 9,Between 10 and 12,More than 13,3
Combien de films Hayao Miyazaki a-t-il réalisé avec le Studio Ghibli ?,7,9,11,12,How many movies Hayao Miyzaki directed inside Studio Ghibli?,7,9,11,12,1
Quelle est la license de jeux videos la plus rentable de l'histoire ?,Pokemon,Mario,Call Of Duty,Fifa,What is the best-selling video game franchise of all time?,Pokemon,Mario,Call Of Duty,Fifa,0
Quel est le nom du compositeur principal des musiques de Final Fantasy ?,Koji Kondo,Yoko Shimomura,Nobuo Uematsu,Yasunori Mitsuda,What is the name of the primary composer of the Final Fantasy License ?,Koji Kondo,Yoko Shimomura,Nobuo Uematsu,Yasunori Mitsuda,2
Quel anime compte le plus d'épisode à ce jour ?,One Piece,Naruto,Detective Conan,Bleach,Which anime has the most episodes ?,One Piece,Naruto,Case Closed,Bleach,2
"Dans l'animé Attaque des Titans, à qui appartenait l'écharpe de Mikasa ?",Armin,Livaï,Eren,La mère d'Eren,"In the anime Attack on Titans, who owned Mikasa's scarf?",Armin,Levi,Eren,Eren's mother,2
Comment s'appellent les 2 personnages qui tiennent la boutique Nook dans Animal Crossing New Horizons ?,Tik et Tok,Méli et Mélo,Pic et Poc,Tom Nook et Nook Junior,What are the names of the 2 characters who run the Nook store in Animal Crossing New Horizons?,Tik and Tok,Timmy and Tommy,Pic and Poc,Tom Nook and Nook Junior,1
Quel est le vrai nom de Freddie Mercury ?,Freddy Bulsira,Frédérique Balsara,Fred Bulsari,Frederick Bulsara,What was Freddie Mercury’s real name?,Freddy Bulsira,Frédérique Balsara,Fred Bulsari,Frederick Bulsara,3
"Dans Le Magicien d'Oz, qui a joué la méchante sorcière de l'Ouest ?",Margaret Hamilton,Judy Garland,Judi Dench,Billy Barty,"In The Wizard of Oz, who played the Wicked Witch of the West?",Margaret Hamilton,Judy Garland,Judi Dench,Billy Barty,0
Quel membre des Beatles était le plus agé ?,Ringo,John,Paul,George,Which member of the Beatles was the oldest?,Ringo,John,Paul,George,0
Quelle équipe a gagné les Worlds de League of Legends 2019 à Paris ?,Damwon Gaming,G2 esport,Fun Plus Phoenix,Clown9,Which team won the League of Legends Worlds 2019 in Paris?,Damwon Gaming,G2 esport,Fun Plus Phoenix,Clown9,2
Comment s'appelle la nouvelle console de Microsoft ?,Xbox Series X,Xbox One X,Xbox X series,Xbox X One Series ,What is the name of Microsoft's new gaming console ?,Xbox Series X,Xbox One X,Xbox Series One,Xbox One Series X,0
"Parmi ces acteurs, lequel a joué dans le film ""Shutter Island"" ?",Matt Damon,Christian Bale,Chris Hemsworth,Mark Ruffalo,"Which one of the following actors played in ""Shutter Island""?",Matt Damon,Christian Bale,Chris Hemsworth,Mark Ruffalo,3
Quel film n'a PAS été proposé lors de la première Pop' Party ?,OSS 117,Gatsby,Le Loup de Wall Street,Matrix,Which movie has not been proposed for the first Pop' Party?,OSS 117,Gatsby,The Wolf of Wall Street,Matrix,2
Quelle est la console la plus vendue au monde ?,PS2,PS3,WII,Nintendo Switch,Which one is the world's best-selling console ?,PS2,PS3,WII,Nintendo Switch,0
Comment s'appelle le chevaucheur de dragon géant dans avatar ?,Naigiri,Eywa,Borno mitogri,Turuk makto,What is the giant dragon rider's name in Avatar ?,Naigiri,Eywa,Borno mitogri,Turuk makto,3
Comment s'appelle l'organisation de malfaiteurs dans Naruto ?,L'akatsuki,L'irokaki,La force de l'ombre,Hokage,What is the name of the criminal organisation in the manga series Naruto ?,The Akatsuki,The Irokaki ,The Shadow Force,Hokage ,0
Comment s'appelle le mouvement à l'origine du Bitcoin ?,Les japonais fou,Cyber punk,Cypher punk,Satoshi Nakamoto,How do we call the movement that originated the Bitcoin ? ,The crazy Japanese,Cyber Punk,Cypher Punk,Satoshi Nakamoto,2
Comment s'appelle la période de jeûne dans le pastafarisme ?,Noodle,Le Ramendan,Nouillewel,Le quoi ?,What is the name of the fast period in pastafarianism ?,Noodle,The Ramendan,Nouillewel,Whattt ??,1
